"e","a","q","i"
0.1906,2.752,2.228,13.87
0.1627,2.353,1.970,11.09
0.0862,2.671,2.440,10.25
0.1582,3.173,2.671,11.46
0.0482,3.152,3.000,12.99
0.0895,3.172,2.888,9.29
0.0848,3.195,2.924,18.87
0.1792,3.111,2.554,1.62
0.1770,3.114,2.563,15.18
0.0644,2.985,2.793,7.08
0.1293,2.487,2.165,2.28
0.0791,2.2,2.026,3.79
0.3016,2.851,1.991,4.82
0.2235,2.651,2.059,9.50
0.2173,4.013,3.141,2.09
0.1441,2.613,2.237,9.78
0.1417,3.162,2.714,20.84
0.1791,2.383,1.956,25.03
0.1746,2.726,2.250,5.01
0.2154,2.722,2.136,12.90
0.2426,2.686,2.035,9.82
0.1462,3.043,2.598,16.99
0.1018,3.152,2.831,9.50
0.0076,3.161,3.137,13.34
0.0969,3.063,2.766,15.41
0.1915,2.61,2.110,9.54
0.1888,3.161,2.564,15.94
0.2541,2.189,1.633,8.75
0.0852,3.012,2.755,9.74
0.0373,3.047,2.934,3.88
0.1767,3.121,2.569,2.04
0.2748,2.678,1.942,12.95
0.1797,3.156,2.589,3.23
0.2278,2.533,1.956,6.73
0.1831,2.792,2.281,11.01
0.1106,3.007,2.674,10.96
0.2785,2.744,1.980,10.58
0.0866,3.628,3.314,4.42
0.1793,2.966,2.434,4.31
0.1270,2.635,2.300,8.22
0.1020,2.246,2.017,6.00
0.1283,3.135,2.733,2.17
0.1517,2.727,2.313,9.66
0.0220,3.398,3.323,12.70
0.0933,3.016,2.735,11.02
0.2178,3.189,2.494,8.56
0.1988,2.783,2.230,34.03
0.1795,2.769,2.272,16.30
0.0442,2.98,2.848,6.56
0.0596,2.882,2.710,3.28
0.0257,2.57,2.504,6.77
0.0875,3.495,3.189,19.43
0.2292,3.073,2.369,9.87
0.1712,3.157,2.617,6.52
0.2142,2.738,2.152,6.80
0.0904,2.219,2.018,5.58
0.0503,2.817,2.675,6.00
0.1424,2.904,2.491,12.08
0.1517,3.06,2.596,8.46
0.1529,2.592,2.195,8.37
0.1698,3.199,2.656,11.21
0.1155,2.597,2.297,14.87
0.2357,2.774,2.120,16.86
0.1842,2.283,1.862,3.87
0.2569,2.687,1.997,3.95
0.2225,2.589,2.013,10.11
0.1187,2.968,2.615,0.39
0.0898,3.148,2.865,7.69
0.1098,2.231,1.986,5.39
0.1521,2.375,2.014,2.93
0.1549,3.178,2.685,2.67
0.1046,2.463,2.206,5.25
0.0984,2.442,2.202,2.48
0.0384,2.907,2.796,8.37
