"e","a","q","i"
0.1580,3.138,2.642,18.12
0.1653,3.184,2.658,21.44
0.0609,3.056,2.870,13.59
0.0657,3.089,2.886,8.98
0.1944,2.596,2.091,15.90
0.0671,3.21,2.994,9.59
0.1240,3.211,2.813,15.02
0.1329,2.602,2.256,15.17
0.1250,3.164,2.768,6.57
0.1811,3.21,2.629,9.49
0.2350,3.212,2.457,25.62
0.0658,3.166,2.958,9.75
0.0373,3.108,2.992,7.94
0.1341,3.033,2.626,11.39
0.1132,3.199,2.837,5.85
0.1009,3.013,2.709,10.39
0.1670,3.138,2.614,17.87
0.1482,3.213,2.737,14.90
0.0709,3.089,2.870,10.25
0.0501,3.143,2.986,20.93
0.0638,3.162,2.960,14.61
0.1086,3.11,2.773,19.50
0.1984,3.098,2.483,17.75
0.0222,2.996,2.929,11.55
0.0350,3.151,3.041,22.75
0.2155,3.036,2.382,16.73
0.0841,3.001,2.749,15.74
0.0539,3.243,3.068,22.35
0.1567,2.582,2.178,8.93
0.0320,3.17,3.068,9.77
0.1096,3.161,2.815,17.14
0.2185,3.187,2.490,12.92
0.1820,3.204,2.621,26.60
0.0626,3.17,2.972,18.28
0.1888,3.127,2.537,26.47
0.1250,3.172,2.775,28.38
0.1119,3.113,2.765,11.95
0.1606,3.235,2.715,2.63
0.0399,3.058,2.936,21.81
0.1674,2.772,2.308,32.67
0.0659,3.098,2.893,11.62
0.0291,3.154,3.062,15.02
0.1763,3.204,2.639,12.31
0.0648,3.123,2.921,17.23
0.2002,3.214,2.570,25.91
0.1595,3.351,2.816,9.32
0.2244,3.15,2.443,17.29
0.1711,3.169,2.627,26.99
0.0668,2.969,2.771,12.19
0.0774,3.128,2.886,9.13
0.0795,3.074,2.830,11.02
0.0511,5.344,5.071,4.34
0.2332,4.005,3.071,4.02
0.2574,3.049,2.264,9.30
0.1397,3.164,2.722,18.52
0.3110,3.955,2.725,9.80
0.5461,3.283,1.490,13.17
0.0935,3.084,2.796,16.54
0.1084,2.963,2.641,12.61
0.1814,3.213,2.630,14.73
0.1256,3.372,2.948,9.52
0.0478,3.182,3.030,12.15
0.0705,3.146,2.924,8.28
0.0648,3.079,2.880,21.40
0.1437,3.93,3.365,2.06
0.0420,39.26,37.615,9.53
0.5659,8.16,3.542,79.17
0.2287,2.764,2.132,17.88
0.2143,3.138,2.466,26.28
0.4022,3.057,1.828,18.24
0.1926,3.054,2.466,14.40
0.1798,3.124,2.563,18.02
0.2178,3.168,2.478,13.33
0.0859,3.003,2.745,14.53
0.1256,3.161,2.764,20.13
0.1205,3.06,2.691,15.11
0.2829,3.14,2.252,21.90
0.1720,3.065,2.538,16.14
0.1269,3.16,2.758,11.48
0.1971,3.155,2.533,12.11
0.1938,3.965,3.196,3.01
0.2343,4.002,3.064,3.89
0.2118,3.052,2.405,23.09
0.2062,4.004,3.179,3.80
0.1820,3.95,3.231,3.05
0.2591,3.967,2.939,8.81
0.1535,3.18,2.692,17.62
0.2512,3.955,2.962,1.92
0.2861,3.956,2.825,6.24
0.2759,3.955,2.864,11.30
0.0842,3.227,2.955,10.97
0.0451,3.23,3.084,8.63
0.1808,3.984,3.264,5.57
0.1375,3.101,2.674,16.25
0.2367,3.925,2.996,5.13
0.2106,3.139,2.478,22.55
0.2313,3.137,2.412,10.89
0.6186,91.98,35.082,28.74
0.0302,41.84,40.581,19.22
0.1435,43.47,37.235,28.48
0.0620,3.231,3.030,21.07
0.1940,3.152,2.541,10.41
0.1211,3.158,2.776,4.03
0.1970,3.926,3.152,8.40
0.6473,93.89,33.113,16.26
0.2175,3.964,3.101,10.46
0.3987,76.86,46.216,26.40
0.5202,4.582,2.198,11.56
0.5310,17.55,8.231,3.79
0.1128,3.176,2.818,16.20
0.2295,3.943,3.038,11.63
0.1085,3.921,3.496,1.64
0.0906,3.34,3.037,24.77
0.0602,3.125,2.937,7.11
0.0598,3.118,2.932,16.45
0.2287,3.209,2.475,25.51
0.0599,3.388,3.185,15.51
0.1491,2.568,2.185,49.01
0.2410,3.206,2.433,16.31
0.2097,3.205,2.533,17.54
0.0703,3.126,2.907,15.02
0.2330,3.12,2.393,15.59
0.2860,6.369,4.548,18.62
0.2008,3.179,2.541,12.17
0.1119,3.183,2.827,21.70
0.1684,3.087,2.568,6.68
0.1324,3.938,3.416,2.14
0.0307,3.236,3.137,16.95
0.2910,2.692,1.909,26.93
0.0981,3.221,2.905,16.05
0.3020,2.608,1.821,32.44
0.3072,3.98,2.757,5.09
0.2059,3.976,3.157,3.45
0.2385,3.955,3.012,2.91
0.2134,3.973,3.125,4.39
0.2389,2.771,2.109,34.29
0.2132,3.137,2.468,16.54
0.0294,3.167,3.074,8.44
0.0433,3.172,3.034,22.31
0.1310,3.95,3.433,1.91
0.1960,3.957,3.181,9.05
0.1387,3.983,3.431,8.14
0.0427,2.51,2.402,13.37
0.1919,2.575,2.081,14.52
0.2133,2.551,2.007,14.47
0.2008,3.045,2.433,11.62
0.2389,3.114,2.370,17.53
0.2117,2.992,2.358,12.11
0.2546,3.166,2.360,23.48
0.2132,3.167,2.492,25.60
0.0861,2.553,2.333,12.89
0.1640,3.129,2.616,22.76
0.1199,2.98,2.622,11.12
0.2429,3.147,2.383,17.16
0.1974,3.094,2.483,25.93
0.0681,3.063,2.854,9.88
0.1298,3.008,2.618,10.43
0.1060,3.108,2.778,16.70
0.1043,3.19,2.858,13.31
0.0760,3.087,2.852,9.49
0.2079,3.203,2.538,14.34
0.2133,3.159,2.485,8.14
0.1829,3.138,2.564,4.58
0.0973,3.111,2.808,9.43
0.0368,3.132,3.017,21.56
0.1691,3.145,2.613,16.52
0.0185,3.134,3.076,19.67
0.2233,3.184,2.473,13.88
0.1010,3.043,2.736,13.53
0.0962,3.097,2.799,23.07
0.0890,3.154,2.874,25.75
0.0529,3.046,2.885,10.95
0.2078,3.139,2.487,24.45
0.1673,3.221,2.682,7.39
0.1955,3.205,2.578,14.78
0.0692,3.107,2.892,9.61
0.1369,3.067,2.647,10.70
0.1545,3.208,2.712,15.70
0.2623,3.136,2.313,16.79
0.1345,3.162,2.737,5.76
0.1402,3.191,2.744,15.22
0.2027,3.198,2.550,17.00
0.0537,3.217,3.044,23.76
0.0816,3.222,2.959,6.73
0.0681,3.226,3.007,10.88
0.3049,3.089,2.147,12.48
0.1524,3.229,2.737,17.84
0.0294,3.122,3.030,9.64
0.1756,3.146,2.593,21.12
0.3280,3.099,2.083,14.31
0.0982,3.167,2.856,15.81
0.2059,3.203,2.543,22.07
0.0766,3.165,2.922,12.72
0.1323,3.102,2.691,17.03
0.2182,3.208,2.508,21.46
0.2454,3.146,2.374,12.75
0.2361,3.18,2.429,27.15
0.2737,3.074,2.233,4.94
0.1442,3.248,2.780,12.77
0.2049,3.093,2.459,18.74
0.2249,3.195,2.476,13.89
0.1798,3.137,2.573,26.94
0.0945,3.153,2.855,17.86
0.1218,3.141,2.759,5.89
0.1316,3.135,2.722,17.20
0.1843,3.19,2.603,8.81
0.0443,3.213,3.071,22.10
0.1723,2.543,2.105,27.04
0.2145,2.623,2.060,11.82
0.2782,2.666,1.924,12.21
0.2057,2.619,2.081,15.18
0.2262,2.692,2.083,16.56
0.1394,2.849,2.451,14.39
0.1079,2.791,2.490,13.49
0.1811,2.527,2.070,12.85
0.0668,2.731,2.548,15.84
0.2865,3.149,2.247,26.14
0.1313,2.77,2.407,15.14
0.2261,2.723,2.107,14.92
0.0596,2.674,2.515,20.78
0.1045,3.154,2.825,16.24
0.1188,2.974,2.621,9.14
0.0568,3.115,2.938,8.80
0.1612,3.169,2.658,8.29
0.1285,3.034,2.644,9.92
0.1195,3.216,2.832,7.04
0.0864,3.221,2.943,20.62
0.1085,3.146,2.805,17.28
0.1382,2.658,2.291,14.34
0.0226,3.03,2.962,13.56
0.4405,3.159,1.768,13.49
0.0339,3.189,3.081,11.81
0.0663,3.171,2.961,8.29
0.1128,3.112,2.760,8.26
0.2001,2.75,2.200,37.95
0.2447,3.14,2.372,13.23
0.1002,3.164,2.847,10.23
0.1244,3.046,2.667,18.68
0.0309,3.171,3.073,8.38
0.0976,3.191,2.880,15.34
0.0409,3.104,2.978,9.90
0.0988,3.123,2.815,22.66
0.1547,3.192,2.698,16.48
0.1580,3.116,2.624,18.64
0.2298,3.132,2.412,10.10
0.0936,3.159,2.863,11.57
0.0712,3.146,2.922,20.16
0.0228,3.122,3.051,15.17
0.1883,3.154,2.560,13.20
0.1409,3.948,3.391,1.74
0.0904,3.464,3.151,17.17
0.3089,2.568,1.775,16.61
0.1739,3.132,2.588,17.59
0.1046,3.181,2.848,17.93
0.1164,3.074,2.716,15.01
0.2950,3.16,2.228,24.37
0.0880,3.116,2.842,10.11
0.0767,3.173,2.930,9.97
0.0656,3.062,2.861,10.06
0.0841,3.15,2.885,7.20
0.1355,3.213,2.777,4.98
0.0419,3.098,2.969,11.54
0.1554,3.099,2.618,14.11
0.1279,3.149,2.746,13.43
0.2341,3.142,2.406,13.14
0.1297,3.125,2.720,9.06
0.0326,3.168,3.065,10.20
0.0535,3.159,2.990,20.62
0.0674,3.147,2.934,21.49
0.1383,3.096,2.668,12.87
0.1277,3.222,2.810,5.12
0.1501,3.167,2.691,6.94
0.0689,3.218,2.997,9.11
0.1076,2.559,2.284,14.11
0.2182,3.115,2.435,6.71
0.0719,3.247,3.014,7.33
0.0435,3.089,2.955,22.07
0.1878,3.083,2.504,19.38
0.1472,3.941,3.361,2.68
0.0333,3.372,3.260,7.33
0.1771,3.946,3.247,10.81
0.0845,3.155,2.889,13.96
0.0979,3.201,2.888,21.85
0.1876,3.16,2.568,15.55
0.0129,3.25,3.208,22.89
0.1448,3.229,2.761,6.29
0.1555,3.954,3.339,6.80
0.0996,3.137,2.824,20.53
0.2171,3.115,2.439,26.26
0.2244,3.087,2.394,20.48
0.0390,3.098,2.977,17.65
0.0439,3.384,3.236,11.30
0.0228,3.181,3.109,9.54
0.1014,3.178,2.856,12.96
0.2543,3.176,2.368,26.50
0.3262,2.745,1.849,22.24
0.0411,2.93,2.809,11.87
0.0441,2.538,2.426,15.42
0.2556,3.157,2.350,25.91
0.1062,3.111,2.781,9.61
0.0956,3.091,2.795,9.15
0.1661,3.201,2.669,7.39
0.0890,3.143,2.863,26.02
0.0400,44.31,42.538,0.79
0.2445,3.114,2.353,18.31
0.0715,3.072,2.853,8.99
0.1359,2.983,2.578,13.00
0.0309,3.061,2.966,10.96
0.1158,3.096,2.738,22.69
0.8005,220.2,43.922,22.79
0.1605,3.939,3.307,6.08
0.1531,3.98,3.370,2.90
0.0874,2.524,2.304,3.49
0.2740,2.642,1.918,16.33
0.2714,3.132,2.282,14.57
0.2393,3.091,2.351,8.17
0.2691,3.179,2.324,25.28
0.1510,2.883,2.448,10.78
0.1469,3.159,2.695,15.41
0.2857,3.101,2.215,21.28
0.1842,3.146,2.567,15.63
0.2108,3.115,2.458,15.17
0.0352,3.131,3.021,9.43
0.1826,3.186,2.604,3.92
0.0859,3.098,2.831,10.46
0.1116,3.137,2.787,22.71
0.1370,3.096,2.672,13.93
0.1779,3.215,2.643,4.95
0.2568,3.056,2.271,10.26
0.1874,3.153,2.562,13.04
0.0860,3.128,2.859,11.13
0.1195,3.08,2.712,10.30
0.3358,3.141,2.086,27.01
0.1656,3.11,2.595,15.50
0.0671,3.157,2.945,18.18
0.0958,3.178,2.873,25.26
0.2011,3.139,2.508,14.85
0.0884,3.08,2.808,12.89
0.2288,3.124,2.409,17.29
0.2542,3.215,2.398,25.28
0.2093,3.092,2.445,12.84
0.0781,3.169,2.921,15.43
0.1930,3.027,2.443,9.55
0.0729,3.065,2.841,12.91
0.1764,3.098,2.552,11.58
0.1863,3.168,2.578,28.07
0.1633,3.141,2.628,15.60
0.0422,2.669,2.556,20.98
0.1311,2.577,2.239,28.82
0.1366,2.632,2.272,13.96
0.1179,2.681,2.365,12.91
0.0351,2.616,2.525,13.53
0.1956,2.744,2.207,9.14
0.0616,44.43,41.689,5.19
0.1727,3.175,2.627,26.90
0.0874,3.098,2.827,18.22
0.3297,2.636,1.767,15.33
0.1713,2.654,2.199,27.26
0.1336,2.76,2.392,9.88
0.1967,2.73,2.193,14.77
0.6739,28.74,9.373,12.63
0.0312,3.031,2.937,12.42
0.2199,3.108,2.424,7.00
0.1286,3.153,2.748,28.80
0.3636,2.925,1.861,13.40
0.0605,3.071,2.885,12.31
0.1002,3.127,2.813,16.57
0.1965,3.134,2.518,13.86
0.1375,2.777,2.395,13.07
0.0668,3.105,2.898,12.96
0.1273,3.169,2.766,11.07
0.0617,3.088,2.897,12.18
0.0866,3.13,2.859,10.67
0.1652,3.165,2.642,12.52
0.0918,3.214,2.919,4.98
0.1525,3.176,2.692,4.38
0.1493,3.136,2.668,14.54
0.1847,3.05,2.487,17.22
0.0264,3.101,3.019,10.48
0.1832,3.134,2.560,26.52
0.1410,3.155,2.710,26.70
0.2004,3.151,2.520,26.63
0.1513,3.16,2.682,4.20
0.2068,3.127,2.480,16.77
0.1964,3.172,2.549,25.99
0.1153,3.182,2.816,17.16
0.1257,45.27,39.578,2.99
0.2417,42.53,32.253,7.05
0.1271,2.699,2.355,12.25
0.1997,2.602,2.082,30.21
0.1383,2.614,2.252,15.03
0.0838,2.682,2.457,27.90
0.1560,3.395,2.866,9.01
0.3747,2.634,1.647,27.86
0.1080,3.138,2.799,15.27
0.0322,3.144,3.043,23.95
0.0607,3.076,2.890,14.90
0.0626,3.1,2.906,10.45
0.1891,3.117,2.527,15.19
0.4774,41.86,21.876,34.78
0.1724,3.18,2.632,17.64
0.2096,3.154,2.493,18.75
0.1041,2.988,2.677,11.35
0.1400,3.099,2.665,11.21
0.0737,3.342,3.095,18.43
0.1509,3.189,2.707,8.38
0.1756,3.145,2.593,16.41
0.0815,3.133,2.877,15.00
0.1001,3.111,2.799,8.76
0.0867,3.153,2.880,17.03
0.0862,3.213,2.936,11.90
0.1363,3.192,2.756,11.72
0.1259,3.163,2.765,12.77
0.0767,3.429,3.166,6.71
0.0879,3.149,2.872,17.68
0.2513,3.946,2.954,4.90
0.0255,3.476,3.388,8.66
0.0561,3,2.831,15.02
0.1097,3.105,2.765,17.94
0.1615,3.106,2.605,13.31
0.1213,3.217,2.827,7.60
0.0660,3.142,2.934,11.50
0.0971,3.151,2.845,23.45
0.0971,3.205,2.893,9.73
0.0780,3.106,2.864,10.60
0.1053,3.106,2.779,10.49
0.0605,3.468,3.258,8.70
0.0414,3.16,3.029,6.66
0.0911,3.173,2.884,9.99
0.0824,2.916,2.676,18.38
0.0484,3.09,2.941,12.72
0.1099,2.556,2.275,22.03
0.0701,3.113,2.895,11.34
0.0629,3.242,3.038,13.36
0.0790,3.18,2.929,17.82
0.1755,3.13,2.581,9.16
0.0310,3.166,3.067,12.68
0.0715,3.137,2.913,17.00
0.0124,3.17,3.130,18.49
0.1485,3.419,2.911,13.76
0.2214,3.182,2.478,24.80
0.2182,3.119,2.439,17.16
0.1530,3.432,2.907,7.84
0.2501,3.162,2.371,26.48
0.1449,3.043,2.602,15.19
0.0199,2.988,2.928,11.54
0.0457,3.112,2.970,12.31
0.0910,3.172,2.883,8.22
0.0404,3.147,3.020,10.00
0.1729,3.194,2.642,18.21
0.0777,3.163,2.918,8.64
0.0948,3.055,2.766,12.17
0.1384,3.234,2.787,25.36
0.1587,3.913,3.292,4.11
0.2152,3.056,2.398,11.99
0.2211,2.553,1.989,9.86
0.1932,2.545,2.054,12.86
0.1518,3.109,2.637,27.52
0.0540,3.021,2.858,9.82
0.2609,3.049,2.254,21.69
0.2646,3.189,2.345,13.10
0.2316,3.17,2.436,17.47
0.1485,3.144,2.677,21.15
0.1017,3.059,2.748,22.92
0.2518,3.133,2.344,8.96
0.0777,3.106,2.864,20.20
0.1734,3.101,2.563,10.00
0.2322,3.099,2.379,17.15
0.0955,3.018,2.729,12.44
0.1639,3.112,2.602,16.05
0.1351,3.126,2.704,13.71
0.1099,3.169,2.821,26.94
0.0974,3.122,2.818,15.49
0.0226,3.151,3.080,23.18
0.1027,3.216,2.886,21.27
0.2373,3.159,2.409,27.19
0.0215,3.109,3.042,9.54
0.1139,44.92,39.801,10.23
0.1241,3.165,2.772,14.61
0.0746,3.349,3.099,9.18
0.2299,3.167,2.438,12.95
0.1655,3.211,2.680,26.41
0.2966,3.089,2.173,21.50
0.1456,3.197,2.731,11.30
0.1425,3.17,2.718,27.38
0.1239,3.155,2.764,17.92
0.1738,2.599,2.147,10.78
0.0959,5.185,4.687,5.14
0.0769,5.148,4.752,4.14
0.1750,2.561,2.113,13.77
0.1420,2.604,2.234,14.91
0.1829,2.596,2.121,15.05
0.1653,3.101,2.589,13.63
0.1039,3.172,2.843,14.93
0.2423,2.721,2.062,14.75
0.1790,2.742,2.251,13.88
0.1133,2.801,2.484,16.16
0.1450,3.118,2.666,26.06
0.1198,2.543,2.238,11.12
0.2751,3.117,2.259,24.49
0.1032,3.039,2.725,11.38
0.1433,3.158,2.706,14.74
0.3920,3.136,1.907,22.22
0.1283,3.055,2.663,10.30
0.1364,3.061,2.643,17.06
0.2418,3.158,2.394,12.72
0.2408,3.084,2.342,14.67
0.1040,3.123,2.799,9.50
0.1147,2.975,2.634,11.40
0.0811,2.929,2.692,11.07
0.1552,2.968,2.508,10.73
0.0625,3.245,3.042,14.22
0.0908,3.124,2.840,13.20
0.0500,3.166,3.008,9.32
0.1538,3.042,2.574,7.00
0.2331,3.025,2.320,8.64
0.0776,3.115,2.874,16.59
0.1538,3.087,2.612,24.18
0.0509,3.236,3.071,18.23
0.0696,3.165,2.944,10.50
0.0310,3.162,3.064,15.89
0.1503,3.183,2.705,10.95
0.0443,3.164,3.024,9.66
0.2395,3.143,2.390,26.24
0.0693,3.184,2.963,9.67
0.1711,3.2,2.653,7.40
0.0867,3.074,2.807,22.79
0.2328,3.154,2.420,27.32
0.0989,3.215,2.897,23.03
0.0996,3.094,2.786,18.09
0.1418,3.103,2.663,12.38
0.1219,3.168,2.782,4.45
0.1655,3.187,2.660,7.35
0.2080,3.1,2.455,15.56
0.1380,3.034,2.616,15.98
0.1935,3.184,2.568,18.36
0.1764,3.069,2.528,6.28
0.1292,3.121,2.717,27.77
0.0713,3.175,2.949,23.52
0.1492,3.205,2.727,18.94
0.1851,3.17,2.583,14.25
0.1098,2.549,2.269,14.29
0.1407,2.858,2.456,12.96
0.0451,2.657,2.537,22.40
0.1216,2.849,2.502,15.31
0.0957,3.102,2.805,14.74
0.0737,3.157,2.925,16.22
0.0846,3.192,2.922,21.74
0.0446,5.132,4.903,5.53
0.0357,5.172,4.988,15.28
0.1313,3.216,2.794,26.81
0.0542,3.118,2.950,12.68
0.2317,3.955,3.039,9.63
0.0345,3.17,3.060,9.46
0.1983,3.193,2.560,3.83
0.1224,3.402,2.985,16.83
0.1345,3.077,2.664,9.71
0.1051,3.403,3.045,17.68
0.0281,3.147,3.059,10.85
0.2257,3.98,3.082,8.10
0.1979,3.127,2.508,32.30
0.1095,3.961,3.528,9.40
0.0690,3.958,3.685,7.16
0.0701,3.166,2.945,9.53
0.0867,3.222,2.943,3.33
0.0230,3.216,3.142,12.17
0.2117,3.063,2.414,12.15
0.0855,3.224,2.948,23.48
0.2718,2.554,1.859,15.84
0.2062,3.151,2.501,18.48
0.1526,3.068,2.600,16.00
0.0658,5.13,4.792,13.04
0.0794,3.101,2.854,17.72
0.1645,3.951,3.301,4.51
0.1199,3.379,2.974,17.80
0.0686,3.126,2.912,8.10
0.0416,3.245,3.110,14.58
0.1372,3.201,2.762,10.47
0.1485,3.132,2.667,13.44
0.2478,3.088,2.323,13.13
0.1449,2.591,2.216,15.00
0.0425,3.071,2.940,15.12
0.1470,3.2,2.730,14.32
0.2108,3.157,2.491,27.58
0.1507,3.151,2.676,16.43
0.1683,3.06,2.545,11.55
0.2338,3.161,2.422,18.01
0.1816,3.207,2.625,19.39
0.0201,3.232,3.167,13.75
0.0728,3.095,2.870,10.69
0.0866,3.062,2.797,11.35
0.0710,5.205,4.836,4.32
0.0573,5.157,4.861,21.15
0.0386,3.385,3.255,7.37
0.2893,2.793,1.985,18.43
0.1536,3.202,2.711,15.46
0.1061,3.146,2.812,4.85
0.1439,3.058,2.618,9.49
0.1271,3.166,2.764,27.58
0.1246,3.017,2.642,8.62
0.2204,2.782,2.169,7.56
0.1068,2.945,2.630,12.58
0.0926,2.968,2.693,10.32
0.1009,2.988,2.686,9.12
0.1822,3.099,2.535,23.36
0.1330,2.974,2.579,13.35
0.0712,3.092,2.872,11.36
0.1453,3.162,2.702,18.90
0.1968,3.105,2.494,27.78
0.1420,3.072,2.636,10.12
0.0399,3.159,3.033,16.82
0.1573,3.942,3.322,1.78
0.1446,3.039,2.599,15.04
0.3498,2.763,1.797,7.17
0.0856,5.283,4.830,19.88
0.0475,5.269,5.019,11.29
0.0665,5.205,4.859,14.69
0.0797,3.14,2.890,13.48
0.0714,5.283,4.905,17.21
0.0791,5.257,4.841,12.71
0.1216,3.186,2.799,15.65
0.0482,3.171,3.018,13.29
0.0768,3.17,2.926,9.56
0.2430,3.14,2.377,18.70
0.0348,3.092,2.985,14.80
0.3627,3.051,1.944,16.88
0.1934,3.136,2.529,16.10
0.2157,3.198,2.509,26.61
0.0433,3.128,2.992,9.69
0.1034,3.166,2.838,14.66
0.0647,3.068,2.869,14.07
0.1629,3.081,2.579,17.66
0.1216,3.086,2.711,10.33
0.1588,3.112,2.617,14.81
0.0281,3.088,3.002,9.93
0.2117,3.11,2.451,29.08
0.1601,3.154,2.649,19.67
0.1395,3.069,2.641,17.04
0.2370,3.171,2.419,15.38
0.2486,3.186,2.394,14.78
0.0381,3.195,3.073,8.89
0.1355,3.188,2.756,29.14
0.0805,3.163,2.908,11.55
0.0527,3.187,3.019,8.95
0.1165,3.182,2.811,5.46
0.1235,3.166,2.775,16.23
0.0856,3.5,3.200,9.66
0.1101,3.17,2.821,15.58
0.0413,3.145,3.015,16.22
0.2205,3.106,2.421,21.99
0.0526,3.209,3.041,22.49
0.0406,3.244,3.112,7.50
0.2480,3.949,2.970,3.57
0.2144,3.986,3.131,10.94
0.0849,5.24,4.795,9.03
0.0235,5.103,4.983,15.70
0.3703,2.772,1.746,30.43
0.1136,5.164,4.578,9.19
0.1475,5.167,4.405,2.32
0.1050,5.217,4.669,5.39
0.0329,5.263,5.090,4.11
0.0550,3.175,3.000,9.70
0.0792,3.225,2.970,16.17
0.2632,3.06,2.255,16.63
0.1849,3.126,2.548,11.61
0.2860,3.08,2.199,10.52
0.3031,2.917,2.033,17.95
0.2487,3.162,2.375,26.47
0.2935,3.086,2.180,13.91
0.3016,2.895,2.022,15.09
0.2079,3.087,2.445,16.59
0.1745,3.128,2.582,27.40
0.0177,3.13,3.074,12.00
0.0571,3.148,2.968,10.07
0.1918,3.074,2.485,16.45
0.1118,3.123,2.774,17.13
0.2306,2.972,2.287,24.13
0.0554,3.052,2.883,13.19
0.1088,3.158,2.815,23.47
0.1578,3.126,2.633,24.22
0.0187,3.07,3.013,10.08
0.0619,3.108,2.916,16.04
0.2444,3.187,2.408,24.23
0.0463,3.012,2.873,10.22
0.2660,3.139,2.304,15.33
0.2843,3.05,2.183,7.87
0.2052,3.137,2.493,13.33
0.1186,3.209,2.828,8.40
0.0573,3.184,3.002,12.41
0.0414,3.168,3.037,9.27
0.0333,3.117,3.013,11.10
0.0738,3.194,2.959,16.61
0.1107,3.221,2.864,19.13
0.1112,3.171,2.818,13.65
0.1493,3.048,2.593,11.53
0.0124,3.063,3.026,11.83
0.3194,3.084,2.099,18.86
0.2786,3.954,2.853,5.09
0.2599,3.982,2.947,1.44
0.2860,3.948,2.819,8.45
0.0790,5.226,4.813,31.19
0.3572,2.647,1.701,28.23
0.0432,2.678,2.563,32.74
0.1750,3.1,2.558,7.22
0.1279,3.144,2.742,12.91
0.2007,3.957,3.163,9.02
0.1489,3.133,2.667,14.12
0.1352,3.228,2.792,5.87
0.1753,3.19,2.631,13.84
0.0327,3.378,3.268,13.48
0.2049,3.127,2.487,15.44
0.2014,3.098,2.474,15.70
0.1144,3.183,2.819,7.72
0.0842,3.174,2.907,9.95
0.0575,3.149,2.968,3.43
0.0903,3.306,3.007,25.17
0.1615,3.956,3.317,9.41
0.0524,5.15,4.880,27.53
0.0808,3.112,2.860,15.19
0.7580,14.25,3.449,3.27
0.0444,3.186,3.044,16.31
0.1272,3.127,2.729,27.37
0.1370,3.242,2.798,26.05
0.1273,3.201,2.793,31.00
0.0597,3.262,3.067,6.83
0.1422,3.178,2.726,6.59
0.0825,3.162,2.902,8.01
0.1238,3.253,2.850,12.25
0.0679,3.074,2.866,22.26
0.2380,3.06,2.332,22.58
0.1276,3.17,2.766,9.62
0.1042,3.011,2.697,8.86
0.0142,3.242,3.196,14.69
0.0942,3.02,2.735,11.39
0.0670,3.397,3.170,15.31
0.1234,3.06,2.682,5.94
0.1236,3.239,2.839,2.15
0.0999,3.26,2.934,9.90
0.0461,3.174,3.028,8.91
0.0377,3.1,2.983,16.37
0.1495,3.163,2.690,3.81
0.0798,3.251,2.991,8.49
0.1478,3.975,3.388,2.32
0.0560,3.546,3.347,10.29
0.1570,3.197,2.695,21.96
0.1546,3.159,2.670,16.28
0.1737,3.945,3.260,3.27
0.1857,3.098,2.523,6.77
0.0515,3.12,2.959,10.20
0.0361,3.248,3.130,10.13
0.1221,5.191,4.557,8.57
0.0838,5.229,4.791,12.95
0.0800,5.282,4.860,9.56
0.2415,3.149,2.389,26.89
0.1822,3.978,3.253,2.27
0.1524,3.046,2.582,10.95
0.2783,2.678,1.933,13.94
0.0818,3.093,2.840,10.09
0.1928,2.549,2.058,18.47
0.1777,3.16,2.599,12.88
0.0476,3.249,3.094,14.18
0.1771,3.179,2.616,27.25
0.0240,3.483,3.399,10.90
0.1394,2.551,2.195,14.09
0.0195,5.199,5.098,20.90
0.0542,5.243,4.959,7.91
0.1171,3.203,2.828,18.93
0.1665,3.02,2.517,24.29
0.1345,5.291,4.579,5.16
0.2086,3.2,2.532,27.45
0.0913,5.231,4.754,17.02
0.2112,3.166,2.497,29.74
0.1411,5.246,4.505,3.87
0.0725,5.182,4.806,12.78
0.1184,3.101,2.734,19.13
0.1995,3.165,2.533,22.54
0.1685,3.099,2.577,17.32
0.0929,3.082,2.796,9.61
0.1449,3.185,2.724,18.35
0.2557,2.535,1.887,9.05
0.1262,2.536,2.216,14.76
0.1941,3.06,2.466,8.18
0.2685,3.178,2.325,11.49
0.0459,3.092,2.950,14.43
0.0914,2.967,2.695,11.53
0.1022,3.089,2.774,10.54
0.2943,3.097,2.186,2.25
0.1649,3.197,2.670,12.02
0.0879,3.211,2.928,22.38
0.1907,3.188,2.580,6.90
0.1107,3.196,2.843,13.93
0.0730,2.664,2.469,23.68
0.1089,5.276,4.702,23.51
0.1709,5.202,4.313,7.91
0.1286,2.696,2.349,15.78
0.1080,2.975,2.654,12.12
0.2124,3.077,2.424,14.50
0.1846,3.046,2.484,14.93
0.1732,3.067,2.536,4.86
0.1295,3.112,2.709,19.30
0.1755,3.117,2.570,18.05
0.1734,3.103,2.565,9.07
0.1404,3.141,2.700,23.87
0.0605,3.14,2.950,10.76
0.2580,3.181,2.361,26.16
0.1397,3.186,2.741,11.38
0.1235,3.094,2.712,10.91
0.1519,3.121,2.647,5.76
0.2818,3.163,2.272,12.87
0.0833,3.161,2.897,7.77
0.1629,3.18,2.662,18.54
0.1774,3.262,2.683,23.66
0.1854,3.189,2.598,15.53
0.0694,3.116,2.899,11.39
0.1018,3.199,2.874,21.80
0.0887,3.147,2.868,14.63
0.0801,3.119,2.869,16.17
0.0947,3.086,2.794,9.70
0.2225,3.159,2.456,27.36
0.1557,3.195,2.698,10.02
0.2492,4.005,3.007,2.93
0.2579,3.977,2.951,7.76
0.1508,3.989,3.388,1.29
